ONS_ID,ONS_Name,rurality,pct_covered
3001,AIRPORT,suburban,1
3002,ALTA VISTA,urban,0.5142408992255035
3003,BAYSHORE,urban,0.9944004199275609
3004,BEACON HILL SOUTH - CARDINAL HEIGHTS,urban,0.9092599300231161
3005,BEAVERBROOK,suburban,1
3006,BEECHWOOD CEMETERY,urban,0.8888888888888888
3007,BELLS CORNERS EAST,suburban,1
3008,BELLS CORNERS WEST,suburban,1
3009,BILLINGS BRIDGE - HERON PARK,urban,0.7051621354860028
3010,BLACKBURN HAMLET,suburban,1
3011,BLOSSOM PARK - TIMBERMILL,suburban,1
3012,BORDEN FARM - FISHER GLEN,urban,0.6459371499131806
3013,BRAEMAR PARK-BELAIR HEIGHTS-COPELAND PARK,urban,0.7090618398720344
3014,BRIDLEWOOD - EMERALD MEADOWS,suburban,1
3015,BRITANNIA,urban,0.9748540734214737
3016,BROOKSIDE - BRIARBROOK - MORGANS GRANT,suburban,1
3017,CARDINAL CREEK,suburban,1
3018,CARLETON HEIGHTS-COURTLAND PARK,urban,0.9236599140061803
3019,CARLETON UNIVERSITY,urban,0.3111111111111111
3020,CARLINGTON,urban,0.9375122166694627
3021,CARP,rural,1
3022,CARSON GROVE - CARSON MEADOWS,urban,0.8076213952298462
3023,CENTREPOINTE - BRIARGREEN,urban,0.8122676693092
3024,CENTRETOWN,urban,1
3025,CHAPEL HILL NORTH,suburban,1
3026,CHAPEL HILL SOUTH,suburban,1
3027,CHAPMAN MILLS,suburban,1
3028,CITY VIEW,urban,0.33408462006058726
3029,CIVIC HOSPITAL,urban,0.9923162353427346
3030,COLONNADE BUSINESS PARK,suburban,1
3031,CONSTANCE BAY,rural,1
3032,CONVENT GLEN - ORLEANS WOODS,suburban,1
3033,CORKERY,rural,0.9807638771765852
3034,CRAIG HENRY - MANORDALE,urban,0.5411771409711261
3035,CRESTVIEW-TANGLEWOOD,urban,0.4969908703451851
3036,CRYSTAL BAY - LAKEVIEW PARK,suburban,1
3037,CUMBERLAND,rural,1
3038,DUNROBIN,rural,0.9535204655753108
3039,EDWARDS - CARLSBAD SPRINGS,rural,1
3040,ELMVALE - CANTERBURY,urban,0.9607282257950879
3041,EMERALD WOODS - SAWMILL CREEK,suburban,1
3042,EXPERIMENTAL FARM,urban,0.3459276059818185
3043,FALLINGBROOK,suburban,1
3044,FINDLAY CREEK,suburban,1
3045,FISHER HEIGHTS,urban,0.8500664802570801
3046,FITZROY,rural,0.9887630377330844
3047,GLEBE-DOWS LAKE,urban,0.9230227708629627
3048,GLEN CAIRN,suburban,1
3049,GREELY,rural,1
3050,GREENBELT (EAST),suburban,0.9905034344724701
3051,GREENBELT (WEST),suburban,1
3052,GREENBORO EAST,suburban,1
3053,GREENBORO WEST,suburban,1
3054,HAWTHORN MEADOWS - SHEFFIELD GLEN,urban,0.984917281148239
3055,HINTONBURG-MECHANICSVILLE,urban,0.9929965347437535
3056,HUNT CLUB PARK,suburban,1
3057,INDUSTRIAL EAST,suburban,1
